"Keycode","Keyname","Keycount"
49,"1",102
50,"2",93
51,"3",28
52,"4",26
53,"5",43
54,"6",10
55,"7",18
56,"8",27
57,"9",134
48,"0",120
65,"A",1006
66,"B",227
67,"C",361
68,"D",336
69,"E",726
70,"F",160
71,"G",507
72,"H",585
73,"I",1196
74,"J",205
75,"K",97
76,"L",285
77,"M",272
78,"N",865
79,"O",699
80,"P",161
81,"Q",89
82,"R",299
83,"S",589
84,"T",485
85,"U",663
86,"V",310
87,"W",211
88,"X",256
89,"Y",248
90,"Z",252
16777219,"Backspace",1727
16777220,"Enter",670
16777217,"Tab",92
16777252,"Capslock",2
16781922,"Left Shift",752
16781917,"Left Ctrl",761
16781915,"Left Alt",89
16781914,"Right Alt",5
16781916,"Right Ctrl",25
16781921,"Right Shift",78
16777234,"Left",684
16777237,"Down",508
16777236,"Right",546
16777235,"Up",518
16777222,"Insert",1
16777232,"Home",89
16777238,"PageUp",8
16777223,"Delete",216
16777233,"End",291
16777239,"PageDown",26
16777216,"Escape",15
32,"Space",1950
16777264,"F1",25
16777265,"F2",13
16777266,"F3",0
16777267,"F4",1
16777268,"F5",103
16777269,"F6",0
16777270,"F7",0
16777271,"F8",0
16777272,"F9",0
16777273,"F10",0
16777274,"F11",0
16777275,"F12",7
16781912,"0",77
16781920,"1",133
16781909,"2",62
16781906,"3",52
16781911,"4",57
16781908,"5",60
16781919,"6",54
16781918,"7",40
16781913,"8",47
168,"9",52
16777471,".",5
16781910,"Enter",207
202,"-",4
16777476,"Numlock",0
16777428,"+",7
16777474,"/",4
16777429,"*",5
195,"~",18
45,"-",88
61,"=",168
91,"[",74
93,"]",21
92,"\",15
59,";",222
39,"'",60
44,",",205
46,".",170
47,"/",57
