"Keycode","Keyname","Keycount"
49,"1",0
50,"2",1
51,"3",2
52,"4",0
53,"5",1
54,"6",1
55,"7",1
56,"8",5
57,"9",4
48,"0",5
65,"A",45
66,"B",9
67,"C",15
68,"D",20
69,"E",25
70,"F",8
71,"G",11
72,"H",23
73,"I",41
74,"J",8
75,"K",9
76,"L",4
77,"M",13
78,"N",29
79,"O",22
80,"P",9
81,"Q",0
82,"R",10
83,"S",21
84,"T",30
85,"U",6
86,"V",13
87,"W",9
88,"X",8
89,"Y",5
90,"Z",18
16777219,"Backspace",61
16777220,"Enter",37
16777217,"Tab",1
16777252,"Capslock",0
16781922,"Left Shift",28
16781917,"Left Ctrl",79
16781915,"Left Alt",3
16781914,"Right Alt",0
16781916,"Right Ctrl",0
16781921,"Right Shift",1
16777234,"Left",21
16777237,"Down",30
16777236,"Right",9
16777235,"Up",9
16777222,"Insert",0
16777232,"Home",0
16777238,"PageUp",0
16777223,"Delete",7
16777233,"End",4
16777239,"PageDown",0
16777216,"Escape",3
32,"Space",59
16777264,"F1",2
16777265,"F2",0
16777266,"F3",0
16777267,"F4",0
16777268,"F5",3
16777269,"F6",0
16777270,"F7",0
16777271,"F8",0
16777272,"F9",0
16777273,"F10",0
16777274,"F11",0
16777275,"F12",0
16781912,"0",1
16781920,"1",0
16781909,"2",0
16781906,"3",0
16781911,"4",0
16781908,"5",0
16781919,"6",0
16781918,"7",0
16781913,"8",0
168,"9",0
16777471,".",0
16781910,"Enter",6
202,"-",0
16777476,"Numlock",0
16777428,"+",0
16777474,"/",0
16777429,"*",0
195,"~",0
45,"-",1
61,"=",4
91,"[",1
93,"]",1
92,"\",0
59,";",2
39,"'",0
44,",",1
46,".",0
47,"/",1
