"Keycode","Keyname","Keycount"
49,"1",6134
50,"2",10791
51,"3",4889
52,"4",3069
53,"5",2708
54,"6",1752
55,"7",1313
56,"8",2424
57,"9",5691
48,"0",7362
65,"A",83718
66,"B",21153
67,"C",27875
68,"D",34242
69,"E",60729
70,"F",13768
71,"G",47349
72,"H",55028
73,"I",101566
74,"J",20111
75,"K",9135
76,"L",23363
77,"M",16864
78,"N",79892
79,"O",55191
80,"P",9437
81,"Q",8360
82,"R",16559
83,"S",44430
84,"T",24194
85,"U",64097
86,"V",16288
87,"W",19027
88,"X",20448
89,"Y",28893
90,"Z",30928
16777219,"Backspace",111171
16777220,"Enter",63165
16777217,"Tab",6626
16777252,"Capslock",13
16781922,"Left Shift",39926
16781917,"Left Ctrl",66610
16781915,"Left Alt",10786
16781914,"Right Alt",256
16781916,"Right Ctrl",1474
16781921,"Right Shift",2292
16777234,"Left",60231
16777237,"Down",31517
16777236,"Right",44659
16777235,"Up",30184
16777222,"Insert",0
16777232,"Home",7198
16777238,"PageUp",1628
16777223,"Delete",11649
16777233,"End",15601
16777239,"PageDown",2037
16777216,"Escape",865
32,"Space",163059
16777264,"F1",20
16777265,"F2",613
16777266,"F3",94
16777267,"F4",3
16777268,"F5",1604
16777269,"F6",19
16777270,"F7",7
16777271,"F8",4
16777272,"F9",12
16777273,"F10",473
16777274,"F11",45
16777275,"F12",405
16781912,"0",0
16781920,"1",0
16781909,"2",0
16781906,"3",0
16781911,"4",0
16781908,"5",0
16781919,"6",0
16781918,"7",0
16781913,"8",0
168,"9",0
16777471,".",0
16781910,"Enter",3
202,"-",0
16777476,"Numlock",0
16777428,"+",0
16777474,"/",0
16777429,"*",0
195,"~",774
45,"-",4540
61,"=",6066
91,"[",2746
93,"]",1289
92,"\",2404
59,";",4400
39,"'",2664
44,",",11324
46,".",13963
47,"/",4853
