"Keycode","Keyname","Keycount"
49,"1",1212
50,"2",992
51,"3",520
52,"4",208
53,"5",225
54,"6",146
55,"7",256
56,"8",300
57,"9",1920
48,"0",1646
65,"A",8007
66,"B",1918
67,"C",3677
68,"D",3267
69,"E",7766
70,"F",2063
71,"G",4178
72,"H",4713
73,"I",11078
74,"J",1603
75,"K",994
76,"L",3221
77,"M",2465
78,"N",8560
79,"O",6034
80,"P",1521
81,"Q",734
82,"R",3769
83,"S",5496
84,"T",5077
85,"U",6027
86,"V",2414
87,"W",1581
88,"X",1968
89,"Y",2192
90,"Z",2281
16777219,"Backspace",12513
16777220,"Enter",7172
16777217,"Tab",367
16777252,"Capslock",2
16781922,"Left Shift",9050
16781917,"Left Ctrl",5712
16781915,"Left Alt",329
16781914,"Right Alt",7
16781916,"Right Ctrl",139
16781921,"Right Shift",311
16777234,"Left",5052
16777237,"Down",3736
16777236,"Right",3156
16777235,"Up",3476
16777222,"Insert",0
16777232,"Home",996
16777238,"PageUp",90
16777223,"Delete",976
16777233,"End",3274
16777239,"PageDown",201
16777216,"Escape",72
32,"Space",19674
16777264,"F1",2
16777265,"F2",37
16777266,"F3",2
16777267,"F4",0
16777268,"F5",472
16777269,"F6",0
16777270,"F7",3
16777271,"F8",0
16777272,"F9",0
16777273,"F10",111
16777274,"F11",6
16777275,"F12",27
195,"~",67
45,"-",1076
61,"=",2292
91,"[",1117
93,"]",180
92,"\",169
59,";",2271
39,"'",442
44,",",2188
46,".",1830
47,"/",563
